customer_id,address,purchase_date,return_date,purchase_amount,return_amount,return_reason
CUST_0001,"861 Street, City_8",2023-01-21,,10087.13,0.0,
CUST_0001,"861 Street, City_8",2023-04-10,,10087.33,0.0,
CUST_0001,"861 Street, City_8",2023-11-05,2023-11-12,6653.82,4006.4,Damaged
CUST_0001,"861 Street, City_8",2024-07-14,2024-07-23,7113.83,4891.78,Size issue
CUST_0001,"861 Street, City_8",2023-07-09,,17439.53,0.0,
CUST_0001,"861 Street, City_8",2024-05-19,,5315.74,0.0,
CUST_0001,"861 Street, City_8",2023-01-21,2023-01-24,9394.89,6495.48,Size issue
CUST_0001,"861 Street, City_8",2024-07-18,2024-07-23,12889.83,8205.81,Damaged
CUST_0001,"861 Street, City_8",2024-05-23,2024-05-28,8588.63,5956.33,Wrong item
CUST_0001,"861 Street, City_8",2024-01-25,,20966.42,0.0,
CUST_0001,"861 Street, City_8",2024-04-21,2024-04-23,32407.98,28789.68,Size issue
CUST_0001,"861 Street, City_8",2023-12-04,2023-12-06,16409.93,11228.99,Size issue
CUST_0001,"861 Street, City_8",2024-01-15,2024-01-17,4257.2,3540.6,Size issue
CUST_0001,"861 Street, City_8",2024-10-09,,3799.24,0.0,
CUST_0001,"861 Street, City_8",2024-08-15,,40810.77,0.0,
CUST_0001,"861 Street, City_8",2023-02-10,,30131.33,0.0,
CUST_0001,"861 Street, City_8",2023-02-02,,10793.74,0.0,
CUST_0001,"861 Street, City_8",2024-06-30,2024-07-07,8164.41,6977.91,Damaged
CUST_0001,"861 Street, City_8",2023-01-05,2023-01-13,80380.04,50902.04,Size issue
CUST_0001,"861 Street, City_8",2024-04-05,,20046.65,0.0,
CUST_0001,"861 Street, City_8",2023-08-29,2023-09-04,14914.85,11364.41,Damaged
CUST_0001,"861 Street, City_8",2024-06-24,2024-06-28,1230.18,994.52,Damaged
CUST_0001,"861 Street, City_8",2024-07-31,2024-08-05,2297.64,1507.19,Damaged
CUST_0001,"861 Street, City_8",2023-11-27,2023-11-29,38993.7,27116.26,Size issue
CUST_0001,"861 Street, City_8",2023-08-13,2023-08-17,37045.62,22304.64,Damaged
CUST_0001,"861 Street, City_8",2024-03-31,2024-04-02,2769.47,1761.27,Wrong item
CUST_0001,"861 Street, City_8",2024-11-14,2024-11-19,6007.28,4259.7,Size issue
CUST_0001,"861 Street, City_8",2024-05-11,2024-05-19,7211.66,5402.8,Size issue
CUST_0001,"861 Street, City_8",2023-04-23,,7862.66,0.0,
CUST_0001,"861 Street, City_8",2024-09-29,2024-10-08,12076.32,9248.87,Size issue
CUST_0001,"861 Street, City_8",2023-09-04,,52648.2,0.0,
CUST_0001,"861 Street, City_8",2023-10-07,,32935.94,0.0,
CUST_0001,"861 Street, City_8",2024-05-25,,4069.83,0.0,
CUST_0001,"861 Street, City_8",2024-02-07,,6771.26,0.0,
CUST_0001,"861 Street, City_8",2023-05-28,2023-05-31,3734.0,3178.8,Size issue
CUST_0001,"861 Street, City_8",2024-04-17,2024-04-20,23583.7,15975.18,Size issue
CUST_0001,"861 Street, City_8",2023-05-24,2023-06-02,17552.5,15615.16,Damaged
CUST_0001,"861 Street, City_8",2024-03-28,2024-03-30,64123.83,43838.99,Damaged
CUST_0002,"208 Street, City_3",2023-06-01,2023-06-03,40327.95,39509.73,Changed mind
CUST_0002,"208 Street, City_3",2023-09-11,2023-09-12,10177.48,10123.88,Not satisfied
CUST_0002,"208 Street, City_3",2023-12-04,2023-12-06,421.85,357.5,No longer needed
CUST_0002,"208 Street, City_3",2023-10-04,2023-10-06,5095.88,4942.21,Not satisfied
CUST_0002,"208 Street, City_3",2024-02-05,2024-02-07,22064.87,18728.62,No longer needed
CUST_0002,"208 Street, City_3",2023-02-07,2023-02-09,1388.76,1286.31,Other
CUST_0002,"208 Street, City_3",2023-08-14,2023-08-16,63602.89,60072.32,Changed mind
CUST_0002,"208 Street, City_3",2024-10-20,2024-10-22,2664.5,2225.98,Not satisfied
CUST_0002,"208 Street, City_3",2023-08-08,2023-08-09,1571.99,1549.46,No longer needed
CUST_0002,"208 Street, City_3",2024-05-11,2024-05-13,9979.0,9685.64,Other
CUST_0002,"208 Street, City_3",2023-07-10,2023-07-12,4275.16,3896.21,Other
CUST_0002,"208 Street, City_3",2024-07-19,2024-07-21,6527.13,5494.44,Not satisfied
CUST_0002,"208 Street, City_3",2024-10-24,2024-10-25,14326.27,11852.47,Not satisfied
CUST_0002,"208 Street, City_3",2023-09-03,2023-09-04,3389.49,2996.16,Other
CUST_0002,"208 Street, City_3",2024-02-12,2024-02-13,13748.96,11194.24,Changed mind
CUST_0002,"208 Street, City_3",2024-02-04,,38036.32,0.0,
CUST_0002,"208 Street, City_3",2023-05-23,2023-05-24,5284.9,4391.8,Changed mind
CUST_0002,"208 Street, City_3",2023-07-09,2023-07-11,10054.92,8547.19,No longer needed
CUST_0002,"208 Street, City_3",2024-11-12,2024-11-13,7583.13,6478.34,Changed mind
CUST_0002,"208 Street, City_3",2024-09-11,2024-09-12,49352.35,41400.5,Other
CUST_0002,"208 Street, City_3",2023-12-16,,175033.54,0.0,
CUST_0002,"208 Street, City_3",2024-09-27,2024-09-29,28586.87,24417.95,Other
CUST_0002,"208 Street, City_3",2024-08-26,2024-08-27,4774.01,4483.72,Other
CUST_0002,"208 Street, City_3",2024-10-02,2024-10-04,36607.43,31041.54,Changed mind
CUST_0002,"208 Street, City_3",2023-04-28,,41541.91,0.0,
CUST_0002,"208 Street, City_3",2024-03-22,2024-03-23,61064.64,51877.23,No longer needed
CUST_0002,"208 Street, City_3",2024-10-17,2024-10-19,5907.6,5557.47,Changed mind
CUST_0002,"208 Street, City_3",2023-07-23,2023-07-24,9739.19,8713.6,No longer needed
CUST_0002,"208 Street, City_3",2023-10-16,,168675.93,0.0,
CUST_0003,"180 Street, City_3",2024-08-30,2024-09-01,7346.01,6781.61,Changed mind
CUST_0003,"180 Street, City_3",2023-12-02,,10478.19,0.0,
CUST_0003,"180 Street, City_3",2024-10-25,2024-10-26,14372.56,12815.3,Other
CUST_0003,"180 Street, City_3",2024-11-21,2024-11-22,22823.53,19152.55,Other
CUST_0003,"180 Street, City_3",2024-02-01,2024-02-02,52234.1,42773.91,Not satisfied
CUST_0003,"180 Street, City_3",2023-02-04,2023-02-06,58469.1,56299.52,Changed mind
CUST_0003,"180 Street, City_3",2024-09-08,2024-09-10,2837.08,2626.54,Changed mind
CUST_0003,"180 Street, City_3",2024-02-17,2024-02-18,11990.93,11392.86,Not satisfied
CUST_0003,"180 Street, City_3",2023-07-11,2023-07-13,7280.42,6366.03,Other
CUST_0003,"180 Street, City_3",2023-04-06,2023-04-07,25758.42,24418.51,Changed mind
CUST_0003,"180 Street, City_3",2023-09-30,2023-10-01,10481.52,9056.14,Not satisfied
CUST_0003,"180 Street, City_3",2024-11-29,2024-12-01,21385.11,19810.47,Changed mind
CUST_0003,"180 Street, City_3",2023-03-10,2023-03-11,11505.38,9693.8,No longer needed
CUST_0003,"180 Street, City_3",2024-07-18,2024-07-19,28252.69,28229.69,Other
CUST_0003,"180 Street, City_3",2024-09-25,2024-09-26,28396.31,26725.65,No longer needed
CUST_0003,"180 Street, City_3",2024-08-10,2024-08-12,38823.51,36501.62,Other
CUST_0003,"180 Street, City_3",2023-06-19,,24228.31,0.0,
CUST_0003,"180 Street, City_3",2023-07-13,2023-07-15,53381.8,46444.5,Not satisfied
CUST_0003,"180 Street, City_3",2023-09-09,2023-09-11,7533.7,7089.34,Other
CUST_0003,"180 Street, City_3",2024-06-14,2024-06-16,13058.32,12381.83,Other
CUST_0003,"180 Street, City_3",2024-03-31,2024-04-01,4011.68,3755.76,Not satisfied
CUST_0003,"180 Street, City_3",2023-12-14,,11725.11,0.0,
CUST_0003,"180 Street, City_3",2023-04-27,2023-04-29,21634.71,19713.57,Other
CUST_0003,"180 Street, City_3",2023-05-29,2023-05-30,10919.6,10110.24,Changed mind
CUST_0003,"180 Street, City_3",2024-06-09,,18811.25,0.0,
CUST_0003,"180 Street, City_3",2024-07-19,2024-07-21,38054.89,30884.31,Not satisfied
CUST_0003,"180 Street, City_3",2023-12-24,2023-12-26,16647.42,13882.88,Not satisfied
CUST_0003,"180 Street, City_3",2024-11-06,2024-11-07,1044.53,889.93,Not satisfied
CUST_0003,"180 Street, City_3",2024-05-16,2024-05-17,7108.84,6844.1,No longer needed
CUST_0003,"180 Street, City_3",2024-07-11,2024-07-13,100873.44,98171.32,No longer needed
CUST_0003,"180 Street, City_3",2023-01-05,2023-01-06,1675.09,1501.0,Other
CUST_0003,"180 Street, City_3",2023-08-27,,19045.25,0.0,
CUST_0003,"180 Street, City_3",2024-11-19,2024-11-20,3580.24,2960.04,Not satisfied
CUST_0003,"180 Street, City_3",2024-02-09,2024-02-11,13444.06,11771.21,Other
CUST_0003,"180 Street, City_3",2023-03-26,2023-03-27,14134.54,12084.27,Changed mind
CUST_0004,"449 Street, City_1",2023-02-03,,4946.96,0.0,
CUST_0004,"449 Street, City_1",2023-04-28,2023-05-03,9277.64,5247.17,Damaged
CUST_0004,"449 Street, City_1",2024-01-24,,6796.0,0.0,
CUST_0004,"449 Street, City_1",2024-07-31,,281280.97,0.0,
CUST_0004,"449 Street, City_1",2023-11-02,,1673.97,0.0,
CUST_0004,"449 Street, City_1",2023-11-04,,75599.62,0.0,
CUST_0004,"449 Street, City_1",2023-12-01,,94309.64,0.0,
CUST_0004,"449 Street, City_1",2023-05-18,,2550.08,0.0,
CUST_0004,"449 Street, City_1",2024-05-22,,2147.82,0.0,
CUST_0004,"449 Street, City_1",2023-04-21,2023-05-06,56789.02,25080.77,Damaged
CUST_0004,"449 Street, City_1",2024-06-03,,26167.43,0.0,
CUST_0004,"449 Street, City_1",2024-10-28,2024-11-20,4471.35,1843.36,Size issue
CUST_0004,"449 Street, City_1",2023-01-05,,2874.55,0.0,
CUST_0004,"449 Street, City_1",2024-10-06,2024-10-12,2801.96,1229.01,Size issue
CUST_0004,"449 Street, City_1",2023-03-14,,12708.78,0.0,
CUST_0004,"449 Street, City_1",2023-04-17,2023-04-25,4536.27,2911.65,Size issue
CUST_0004,"449 Street, City_1",2024-09-16,,16543.59,0.0,
CUST_0005,"28 Street, City_7",2023-08-04,2023-08-27,13943.41,8561.32,Damaged
CUST_0005,"28 Street, City_7",2024-09-14,,23533.79,0.0,
CUST_0005,"28 Street, City_7",2023-01-15,,29181.15,0.0,
CUST_0005,"28 Street, City_7",2023-01-28,,6149.42,0.0,
CUST_0005,"28 Street, City_7",2023-07-31,,3648.76,0.0,
CUST_0005,"28 Street, City_7",2023-08-21,,4680.83,0.0,
CUST_0005,"28 Street, City_7",2024-01-04,,13306.99,0.0,
CUST_0005,"28 Street, City_7",2024-09-04,,71316.17,0.0,
CUST_0005,"28 Street, City_7",2024-01-12,2024-01-22,2775.04,1414.18,Damaged
CUST_0005,"28 Street, City_7",2024-09-15,2024-09-28,8448.19,3582.63,Late delivery
CUST_0005,"28 Street, City_7",2023-08-31,,8134.41,0.0,
CUST_0005,"28 Street, City_7",2023-08-11,2023-09-01,16461.17,9007.96,Late delivery
CUST_0005,"28 Street, City_7",2024-07-27,,39713.5,0.0,
CUST_0005,"28 Street, City_7",2024-01-27,,59300.01,0.0,
CUST_0005,"28 Street, City_7",2023-08-13,,12053.18,0.0,
CUST_0005,"28 Street, City_7",2023-01-01,2023-01-09,2144.91,1064.29,Size issue
CUST_0005,"28 Street, City_7",2023-09-16,,34796.9,0.0,
CUST_0005,"28 Street, City_7",2023-01-10,,146738.85,0.0,
CUST_0005,"28 Street, City_7",2024-08-18,,144464.71,0.0,
CUST_0005,"28 Street, City_7",2024-07-03,,1596.72,0.0,
CUST_0005,"28 Street, City_7",2023-08-24,,3869.36,0.0,
CUST_0005,"28 Street, City_7",2024-04-03,,14822.59,0.0,
CUST_0005,"28 Street, City_7",2023-08-17,,11083.22,0.0,
CUST_0006,"5 Street, City_3",2023-03-19,,944.14,0.0,
CUST_0006,"5 Street, City_3",2023-10-23,,20597.69,0.0,
CUST_0006,"5 Street, City_3",2024-11-21,,31241.71,0.0,
CUST_0006,"5 Street, City_3",2023-05-25,,189120.68,0.0,
CUST_0006,"5 Street, City_3",2024-09-07,,17861.77,0.0,
CUST_0006,"5 Street, City_3",2023-06-28,2023-07-17,2129.04,1412.81,Damaged
CUST_0006,"5 Street, City_3",2023-10-16,2023-10-21,42578.57,26062.09,Late delivery
CUST_0006,"5 Street, City_3",2024-02-15,2024-02-21,14742.15,9268.94,Size issue
CUST_0006,"5 Street, City_3",2024-09-26,,8204.76,0.0,
CUST_0006,"5 Street, City_3",2023-08-04,,18263.04,0.0,
CUST_0006,"5 Street, City_3",2024-10-09,,7999.31,0.0,
CUST_0006,"5 Street, City_3",2023-04-05,,6883.1,0.0,
CUST_0006,"5 Street, City_3",2023-10-10,,3751.6,0.0,
CUST_0006,"5 Street, City_3",2023-01-23,,7219.22,0.0,
CUST_0006,"5 Street, City_3",2024-01-31,,9675.95,0.0,
CUST_0006,"5 Street, City_3",2023-12-22,,7880.63,0.0,
CUST_0006,"5 Street, City_3",2023-05-07,,18039.02,0.0,
CUST_0006,"5 Street, City_3",2023-01-29,,3402.6,0.0,
CUST_0006,"5 Street, City_3",2024-02-11,,8999.03,0.0,
CUST_0006,"5 Street, City_3",2023-01-01,,7598.17,0.0,
